chromosome	nc_accession	gene	gene_id	ccds_id	ccds_status	cds_strand	cds_from	cds_to	cds_locations	match_type	ID	Length	DivBy3Rem	StopCodons	StopCodonPos	CodonUsage	TGT-C	CGT-R	AAT-N	TGC-C	GGG-G	CGC-R	AAC-N	ACA-T	GGT-G	AAG-K	ATA-I	CGG-R	TGG-W	GGC-G	GGA-G	ATC-I	ACT-T	ATT-I	ACC-T	ATG-M	AAA-K	CGA-R	TGA-stop	ACG-T	CTG-L	AGA-R	CAA-Q	GTC-V	TTG-L	TAA-stop	GCT-A	CCG-P	GTT-V	GCC-A	TCG-S	TCT-S	GAA-E	GTG-V	TTC-F	CTC-L	CCT-P	GCG-A	TCC-S	TTT-F	CTT-L	CCC-P	CCA-P	TCA-S	GAT-D	AGG-R	CAG-Q	CTA-L	GAC-D	TTA-L	TAG-stop	TAT-Y	GCA-A	CAT-H	AGT-S	GTA-V	GAG-E	TAC-Y	AGC-S	CAC-H	
22	NC_000022.11	PMM1	5372	CCDS14020.1	Public	-	41577317	41589804	[41577317-41577439, 41577807-41577922, 41578805-41578880, 41583958-41584057, 41584280-41584371, 41584526-41584602, 41586075-41586192, 41589718-41589804]	Identical	CCDS14020.1_CHR22	789	0	0	786-	266	1	1	1	5	7	4	6	2	3	12		5	1	8	3	12	2	3	6	4	4	4	1	3	16	1		4	1		4	1	1	8	1	3	3	11	12	5	3	1	2	8		4	1		3	4	12	1	15			2	2	1	1		20	3	7	4	
15	NC_000015.10	NTRK3	4916	CCDS32323.1	Public	-	87979344	88256152	[87979344-87979462, 87981225-87981359, 88032856-88033044, 88126270-88126372, 88127161-88127225, 88128710-88128733, 88135100-88135396, 88135898-88136039, 88136466-88136608, 88137403-88137560, 88147334-88147402, 88183417-88183488, 88184224-88184298, 88255905-88256152]	Identical	CCDS32323.1_CHR15	1839	0	0	1836-	616	5	5	17	11	11	5	36	3	5	13	9	8	10	14	10	25	11	8	12	9	5	2		10	23	3	2	15	9	1	6	2	7	14	2	3	9	20	13	16	11		9	11	11	14	11	10	9	2	19	1	16	1		9	3	9	11	2	27	8	14	16	
3	NC_000003.12	MYLK	4638	CCDS3023.1	Public	-	123614104	123793840	[123614104-123614348, 123618638-123618769, 123620206-123620335, 123626817-123626940, 123638070-123638193, 123640286-123640503, 123647223-123647426, 123648970-123649063, 123649161-123649193, 123657125-123657427, 123664104-123664257, 123666218-123666345, 123667136-123667186, 123682223-123682309, 123692734-123692850, 123700019-123701004, 123701437-123701508, 123707753-123708002, 123708697-123708894, 123709755-123709892, 123722127-123722279, 123725943-123726077, 123732895-123733101, 123733686-123734221, 123735397-123735415, 123737377-123737542, 123738896-123739061, 123739952-123740000, 123752330-123752537, 123793676-123793840]	Identical	CCDS3023.1_CHR3	5592	0	0	5589-	1867	10	7	25	38	39	17	34	21	15	104	2	17	25	51	27	55	20	16	54	29	37	7	1	14	67	23	17	36	5		35	13	22	61	7	20	56	74	31	31	34	6	40	20	14	43	33	29	42	26	77	11	47	6		11	25	11	25	12	109	21	40	19	
5	NC_000005.10	EGFLAM	133584	CCDS56363.1	Public	+	38258754	38463985	[38258754-38258850, 38337519-38337628, 38338697-38338780, 38350500-38350617, 38352195-38352330, 38370295-38370461, 38406125-38406240, 38406827-38407145, 38407804-38407904, 38409003-38409103, 38412503-38412647, 38418065-38418254, 38424966-38425091, 38427008-38427251, 38431176-38431287, 38435136-38435252, 38438274-38438454, 38445678-38445701, 38448300-38448378, 38451314-38451457, 38458310-38458393, 38462907-38463010, 38463831-38463985]	Identical	CCDS56363.1_CHR5	3054	0	0	3051-	1021	16	3	17	15	26	6	20	12	14	28	7	12	12	39	27	38	11	19	24	21	21	9		7	30	11	5	9	14	1	18	2	10	18	6	17	19	34	22	25	20	6	20	19	12	24	13	9	34	17	30	1	26	4		16	16	10	11	4	28	17	23	13	
18	NC_000018.10	SNRPD1	6632	CCDS32801.1	Public	+	21612429	21629137	[21612429-21612442, 21622724-21622800, 21623747-21623938, 21629061-21629137]	Identical	CCDS32801.1_CHR18	360	0	0	357-	123		2	2		1		3	5	2	5		1		3	9	1	1	4	2	4	5	2		1	4	9		2	3	1	2		2			1	6	5		1	4			2	2		1		3	2	2	2	1	1		1	1	3	3	2			1		
1	NC_000001.11	TNN	63923	CCDS30943.1	Public	+	175077418	175147070	[175077418-175077826, 175079332-175079706, 175080162-175080425, 175083749-175083934, 175085404-175085493, 175093989-175094252, 175097416-175097682, 175098331-175098594, 175116938-175117204, 175118560-175118823, 175123399-175123662, 175126954-175127084, 175128031-175128163, 175128594-175128745, 175135844-175135940, 175136820-175136987, 175144386-175144549, 175146930-175147070]	Identical	CCDS30943.1_CHR1	3900	0	0	3897-	1303	6	4	15	26	28	14	25	25	14	65	4	13	26	45	16	13	32	15	39	21	6	6	1	19	49	12	8	27	8		20	15	15	52	4	15	19	69	17	16	13	3	14	5	13	24	15	1	17	19	55	4	65	1		14	7	8	10	5	77	36	45	25	
4	NC_000004.12	NAP1L5	266812	CCDS3632.1	Public	-	88697205	88697753	[88697205-88697753]	Identical	CCDS3632.1_CHR4	549	0	0	546-	186	2		4	2	5		1		4	10	1		1	2	1	3			3	5	6	2			4		1	1	1	1	6	1		10	2		7	1		3	6	12		3		2	1		5		7	1	11			2	6	1		1	29	1	4	1	
2	NC_000002.12	SUCLG1	8802	CCDS1967.2	Public	-	84423745	84459268	[84423745-84423771, 84425414-84425602, 84431507-84431658, 84433351-84433434, 84441046-84441103, 84441246-84441458, 84443283-84443399, 84449648-84449751, 84459172-84459268]	Identical	CCDS1967.2_CHR2	1041	0	0	1038-	350	3	1	10	4	5	2	2	8	9	10	1	2		13	17	8	6	20	8	7	11	1	1	3	7	3	4	6	7		14	2	8	10	1	7	15	5	3	6	11		5	8	2	3	2	1	4	3	13	2	3	2		4	10	6	2	2	4	2	4	4	
2	NC_000002.12	CLK1	1195	CCDS2331.1	Public	-	200853305	200861861	[200853305-200853448, 200853902-200853992, 200854615-200854694, 200855003-200855085, 200856681-200856810, 200856890-200856984, 200857717-200857883, 200857972-200858088, 200859679-200859745, 200860124-200860214, 200861237-200861465, 200861701-200861861]	Identical	CCDS2331.1_CHR2	1455	0	0	1452-	488	8	5	10	5	3	7	4	8	7	14	9	1	7	1	11	4	8	13	4	9	24	4			6	19	5	2	7		3		9	5		9	21	4	3	3	7	2	1	14	6	2	6	6	22	8	8	5	13	8	1	14	6	21	20	7	12	9	10	15	
18	NC_000018.10	CCDC178	374864	CCDS11906.1	Public	-	32938010	33412087	[32938010-32938090, 32974546-32974680, 33092760-33092909, 33211895-33212054, 33215549-33215694, 33224774-33224935, 33226792-33226854, 33245244-33245427, 33266915-33267051, 33267201-33267296, 33293158-33293311, 33323490-33323632, 33333173-33333393, 33346210-33346410, 33348889-33348974, 33356323-33356345, 33370049-33370188, 33389539-33389628, 33397148-33397207, 33412030-33412087]	Identical	CCDS11906.1_CHR18	2490	0	0	2487-	833	10	3	29	1	1	2	11	21	7	30	22	3	9	4	3	5	17	23	6	21	65	1		1	14	24	25	5	11	1	17		9	10		16	74	13	10	10	3		5	16	17		6	18	32	6	28	15	15	15		16	20	14	13	7	29	8	5	8	
13	NC_000013.11	ACOD1	730249	CCDS58299.1	Public	+	76948558	76957984	[76948558-76948569, 76952488-76952649, 76953599-76953688, 76955318-76955523, 76957009-76957984]	Identical	CCDS58299.1_CHR13	1446	0	0	1443-	485	4	3	10	2	6	1	9	10	7	19	9		6	5	8	7	6	8	8	9	5	2	1	3	18	7	3	8	7		19	2	5	20	2	10	13	15	10	10	6		11	12	9	7	15	3	7	7	11	4	15	5		7	13	9	6	4	10	5	10	9	
20	NC_000020.11	MYH7B	57644	CCDS42869.2	Under review, update	+	34978005	35002187	[34978005-34978095, 34979389-34979495, 34979660-34979803, 34980577-34980733, 34981032-34981059, 34982458-34982554, 34984691-34984714, 34984853-34984945, 34985065-34985128, 34986099-34986197, 34986885-34986988, 34987148-34987286, 34987556-34987674, 34987764-34987913, 34988091-34988261, 34989739-34989918, 34990013-34990145, 34990233-34990309, 34990737-34990824, 34991003-34991120, 34993101-34993224, 34993333-34993469, 34994145-34994400, 34995335-34995577, 34996345-34996521, 34996612-34996757, 34997082-34997172, 34997250-34997639, 34998294-34998420, 34998510-34998628, 34998718-34998914, 34999055-34999404, 34999570-34999694, 34999790-34999905, 35000292-35000688, 35000767-35000892, 35000987-35001157, 35001244-35001348, 35001430-35001525, 35001947-35002084, 35002176-35002187]	Identical	CCDS42869.2_CHR20	5826	0	0	5823-	1945	4	15	12	16	36	47	49	12	6	142	1	70	11	40	5	43	7	6	39	38	16	6	1	19	172	1	9	23	15		39	5	2	103	10	6	24	59	34	37	8	40	19	13	13	18	5	11	26	14	123	9	68	1		12	38	6	15	4	232	26	29	32	
8	NC_000008.11	SAMD12	401474	CCDS47913.1	Public	-	118197709	118621815	[118197709-118197731, 118379559-118379699, 118439831-118439960, 118580714-118580892, 118621803-118621815]	Identical	CCDS47913.1_CHR8	486	0	0	483-	165	2		5	1	2		1	1	6	8	1	2	2		1	2	3	5	1	2	8	4		2	5	2	4	2	2	1	7	2		3		4	8	7	2	5	2		1		1	1	2	3	2		13	3	3	2		1	2	3	1		5	1		3	
5	NC_000005.10	CERT1	10087	CCDS47235.1	Public	-	75379345	75511843	[75379345-75379472, 75381071-75381200, 75381948-75382076, 75384641-75384711, 75385901-75386033, 75389591-75389686, 75399309-75399386, 75400204-75400296, 75402971-75403057, 75411010-75411102, 75416875-75417032, 75419340-75419423, 75425360-75425498, 75426370-75426477, 75459064-75459180, 75505981-75506115, 75511111-75511504, 75511758-75511843]	Identical	CCDS47235.1_CHR5	2259	0	0	2256-	756	10	8	18	5	11	6	12	18	6	21	8	8	15	14	18	7	12	15	6	11	20	8		5	8	13	8	14	9		22	4	14	12	7	21	40	15	8	9	19	7	17	17	10	8	10	7	32	6	17	8	15	9	1	11	15	12	13	10	17	8	10	8	
11	NC_000011.10	OR51E1	143503	CCDS31358.2	Public	+	4652526	4653482	[4652526-4653482]	Identical	CCDS31358.2_CHR11	957	0	0	954-	322	4	3	6	5	1	5	2	7	3	7	3	4	2	8	2	19	4	9	3	12	2	2		1	14		1	10	8		10	1	1	12		3	4	15	12	5	6		13	6	12	7	3	5	5		6	4	4	2	1	7	3	6	1	2	5	4	2	5	
16	NC_000016.10	HYDIN	54768	CCDS10897.1	Public	-	71027589	71186894	[71027589-71027874, 71031678-71031916, 71060503-71060655, 71062168-71062332, 71064704-71064839, 71067289-71067389, 71069266-71069501, 71079884-71079951, 71088300-71088523, 71093816-71093934, 71115695-71115794, 71129639-71129822, 71137150-71137351, 71152658-71152782, 71162530-71162729, 71175606-71175740, 71178927-71179046, 71184864-71184989, 71186760-71186894]	Identical	CCDS10897.1_CHR16	3054	0	0	3051-	1021	15	4	26	7	14	2	18	13	4	28	12	3	5	18	23	31	20	31	26	18	28	11		3	40	10	10	16	16		19	1	21	13	1	12	42	28	25	18	21	3	20	33	8	26	23	11	24	13	32	3	19	7	1	12	12	14	11	10	32	17	18	16	
6	NC_000006.12	MYO6	4646	CCDS34487.1	Public	+	75817547	75915011	[75817547-75817663, 75822781-75822850, 75828539-75828612, 75830415-75830544, 75832841-75832946, 75835900-75835955, 75840584-75840681, 75841213-75841377, 75844896-75844976, 75848350-75848530, 75855138-75855282, 75857096-75857253, 75858901-75858992, 75861022-75861094, 75862595-75862722, 75866525-75866620, 75866931-75867104, 75870646-75870684, 75873206-75873299, 75879819-75879949, 75880042-75880119, 75881688-75881817, 75886003-75886093, 75886843-75886993, 75890056-75890264, 75891227-75891305, 75892529-75892689, 75895230-75895259, 75898372-75898410, 75907604-75907707, 75908495-75908626, 75911671-75911697, 75914062-75914280, 75914812-75915011]	Identical	CCDS34487.1_CHR6	3858	0	0	3855-	1289	13	8	39	11	6	11	22	26	19	45	11	10	11	16	20	21	17	38	7	33	76	14		2	30	31	27	8	22		31	1	20	21		19	80	20	6	16	18	5	7	51	22	9	16	18	50	14	39	12	24	18	1	27	28	20	19	11	37	11	11	10	
12	NC_000012.12	NCKAP1L	3071	CCDS31813.1	Public	+	54497789	54542684	[54497789-54497890, 54499354-54499464, 54500532-54500624, 54507852-54507908, 54508388-54508530, 54509668-54509758, 54509847-54509984, 54511802-54511850, 54511948-54512104, 54516238-54516294, 54516895-54516991, 54517532-54517641, 54517805-54517937, 54518650-54518731, 54518913-54518971, 54519186-54519331, 54520693-54520825, 54521118-54521237, 54523393-54523538, 54523824-54523955, 54526527-54526745, 54528246-54528376, 54531259-54531356, 54531490-54531583, 54531742-54531824, 54532169-54532249, 54535103-54535196, 54536128-54536244, 54536943-54537052, 54538883-54538972, 54542574-54542684]	Identical	CCDS31813.1_CHR12	3384	0	0	3381-	1131	13	7	16	13	13	9	34	16	10	43	7	14	8	9	9	32	17	29	20	32	17	7	1	3	61	13	8	20	27		23	2	7	36	1	24	29	31	27	33	14		23	28	20	12	13	10	19	6	36	9	24	5		13	17	20	16	8	56	19	19	20	
10	NC_000010.11	MSRB2	22921	CCDS41495.1	Public	+	23095608	23120861	[23095608-23095725, 23104143-23104243, 23110241-23110317, 23119303-23119450, 23120757-23120861]	Identical	CCDS41495.1_CHR10	549	0	0	546-	186	2	1	2	6	8	1	2	3	3	7		5	3	8	6	3	2		4	2	4		1	3	6	2	2	2	2		4	3	1	1	2	5	5	4	4	5	6	4	1	3	2	2	2	1	3	2	3	2	1	1		1	3	3	5		7	3	1	3	
6	NC_000006.12	HECA	51696	CCDS5194.1	Public	+	139135396	139177104	[139135396-139135666, 139166283-139167323, 139174384-139174538, 139176940-139177104]	Identical	CCDS5194.1_CHR6	1632	0	0	1629-	547	11	1	3	15	17	11	20	3	6	27		8	7	25	6	13	6	1	3	10	8		1	1	18	5	3	2	4		5	6	4	30	1	4	10	17	18	11	6	28	13	2	2	12	8	1	7	6	20	1	18	1		5	5	6	1	1	15	11	15	19	
6	NC_000006.12	SDHAF4	135154	CCDS4972.1	Public	+	70566940	70588723	[70566940-70567003, 70579413-70579565, 70588614-70588723]	Identical	CCDS4972.1_CHR6	327	0	0	324-	112	2	1	1			1		1	2	4			4	1	5			1	3	1	7	2		1	3	2	1	2	1	1		1	1	1	2	4	7	1			1	2	2	3	5	3	7	1	6	3	1			2		1	2	2	1		2		1		
10	NC_000010.11	KIAA1217	56243	CCDS60501.1	Public	+	24209193	24546323	[24209193-24209262, 24219625-24219908, 24380868-24381066, 24432994-24433192, 24438385-24438478, 24473227-24474059, 24495146-24495195, 24501378-24501544, 24513258-24513433, 24520122-24520252, 24521781-24521928, 24524322-24524763, 24527935-24528118, 24531829-24531992, 24533069-24533236, 24536773-24536892, 24544980-24545102, 24545826-24546323]	Identical	CCDS60501.1_CHR10	4050	0	0	4047-	1353	3	7	26	3	15	12	18	21	12	50	9	11	2	26	22	21	12	10	33	50	36	6		9	42	27	18	19	14	1	28	12	10	43	8	32	54	28	8	24	45	10	41	13	11	36	43	23	26	21	49	5	30	6		17	26	17	26	6	40	12	37	28	
5	NC_000005.10	IL9	3578	CCDS4189.1	Public	-	135892390	135895815	[135892390-135892509, 135894019-135894150, 135895439-135895471, 135895554-135895589, 135895702-135895815]	Identical	CCDS4189.1_CHR5	435	0	0	432-	148	5		2	6	3		7	2		7	1	1		4		3		3	8	7	3		1	1	9	5	2	1	2		2		1	2		3	5	3	4	3		2	3	2	3	1	6	1	1		5	1	2			1	2		5	1	1	1		1	
1	NC_000001.11	SHC1	6464	CCDS44233.1	Public	-	154963802	154970525	[154963802-154963930, 154965542-154965780, 154965945-154966079, 154966161-154966230, 154966318-154966516, 154967670-154967796, 154967979-154968030, 154968203-154968256, 154968494-154968613, 154968770-154968833, 154969377-154969447, 154970031-154970525]	Identical	CCDS44233.1_CHR1	1755	0	0	1752-	588	6	1	10	3	30	8	11	4	5	13		14	4	15	8	13	7	2	11	16	8	2	1	2	26	3	4	12	8		17	6	5	15	2	6	10	13	9	13	17	2	9	7	6	29	15	7	13	10	20	4	18			5	10	5	8	4	26	6	12	9	
10	NC_000010.11	DNMBP	23268	CCDS81495.1	Public	-	99877150	99930762	[99877150-99877335, 99879810-99880360, 99884010-99884208, 99885686-99885865, 99886299-99886631, 99888824-99888952, 99894945-99895049, 99896266-99896396, 99898085-99898284, 99898742-99898759, 99899918-99900065, 99907994-99908093, 99908952-99909145, 99929607-99930762]	Identical	CCDS81495.1_CHR10	3630	0	0	3627-	1213	17	3	41	6	15	11	28	18	14	46	5	13	13	20	21	19	9	16	20	22	35	7	1	4	38	19	16	13	13		22	6	11	16	7	17	49	24	18	24	18	3	27	22	17	15	23	14	40	21	46	6	32	13		21	21	20	17	13	51	27	28	18	
19	NC_000019.10	PLEKHG2	64857	CCDS86766.1	Public	+	39414086	39425293	[39414086-39414194, 39414991-39415259, 39415338-39415438, 39416347-39416413, 39416550-39416596, 39416849-39416999, 39417554-39417691, 39417904-39418104, 39418733-39418825, 39418916-39419002, 39420625-39420658, 39420750-39420851, 39420948-39420995, 39421074-39421112, 39421282-39421298, 39422114-39422287, 39425237-39425293]	Identical	CCDS86766.1_CHR19	1734	0	0	1731-	581	6	1	1	5	23	12	10	9	8	15		9	5	18	7	11	4	7	7	10	4	11	1	1	40	4	3	5	4		9	4	3	23	2	14	15	19	12	15	20	4	8	5	6	18	17	5	7	9	18	5	12			2	5	4	4		33	10	19	10	
19	NC_000019.10	ZNF419	79744	CCDS54326.1	Public	+	57487950	57494089	[57487950-57487982, 57490146-57490184, 57491470-57491596, 57492112-57492210, 57492855-57494089]	Identical	CCDS54326.1_CHR19	1533	0	0	1530-	514	14	2	7	12	10	2	7	5	3	19	4		5	2	20	3	11	6	6	8	22	2	1	1	7	13	9	2	6		12	1	17	8		3	21	6	6	9	12	2	12	20	10	3	1	8	3	17	18	3	5	3		8	4	17	11	2	23	5	11	21	
3	NC_000003.12	FAM43A	131583	CCDS33923.1	Public	+	194686826	194688097	[194686826-194688097]	Identical	CCDS33923.1_CHR3	1272	0	0	1269-	427		5	2	8	7	16	3		1	21		8	3	28	3	7	3	1	11	8	2		1	4	34		2	3	3		3	12		20	6		6	17	4	8	2	20	9	2	4	8	2	1	2		15	4	17			1	4		2		34	8	15	14	
2	NC_000002.12	KCNJ13	3769	CCDS54437.1	Public	-	232768752	232771361	[232768752-232768812, 232771138-232771361]	Identical	CCDS54437.1_CHR2	285	0	0	282-	98	1	1	2	3		1		1	1	1		1	5	3	1	1		1	1	7	3	1	1			2	3	4	1		4	1	2	1	2	2	1	1	1	2	1			5	5				4	1		2	2			1	2		2			2	3	2	
16	NC_000016.10	HSD3B7	80270	CCDS10698.1	Public	+	30985658	30988182	[30985658-30985823, 30986048-30986203, 30986422-30986530, 30986604-30986703, 30986839-30987001, 30987767-30988182]	Identical	CCDS10698.1_CHR16	1110	0	0	1107-	373	3	3	2	3	9	4	8	3	6	6		12	8	14	6	7	1	1	14	7	1	1	1	5	37		1	9	1		6	1	2	22	1	2	4	23	12	5	3			2	1	13	3	2	3	7	15		7			3	7	5	1	3	17	13	6	8	
7	NC_000007.14	BBS9	27241	CCDS47572.1	Public	+	33146252	33605225	[33146252-33146363, 33152700-33152850, 33155637-33155701, 33177477-33177590, 33257235-33257409, 33264289-33264373, 33273011-33273194, 33273826-33273955, 33336440-33336621, 33340896-33340972, 33344580-33344633, 33349067-33349169, 33352858-33352872, 33357854-33357994, 33367766-33367861, 33383665-33383837, 33387991-33388143, 33505462-33505644, 33533953-33534175, 33604864-33604974, 33605194-33605225]	Identical	CCDS47572.1_CHR7	2559	0	0	2556-	856	12	3	18	9	3	3	15	12	19	16	9	3	9	7	22	8	18	22	16	17	29	8		2	24	14	32	14	18	1	13	2	17	14	4	23	38	19	10	9	13	3	7	30	28	8	12	14	42	4	24	16	10	12		10	14	13	13	12	15	7	7	7	
2	NC_000002.12	ACMSD	130013	CCDS2173.2	Public	+	134838682	134901859	[134838682-134838738, 134845232-134845276, 134859260-134859356, 134861968-134862017, 134863394-134863630, 134867578-134867671, 134870964-134871059, 134872468-134872640, 134898340-134898438, 134901797-134901859]	Identical	CCDS2173.2_CHR2	1011	0	0	1008-	340	4	1	3	3	4	2	7	6	8	10	3		8	5	10	3	1	6	5	14	17	2	1	1	13	4	5	8	6		1	1	4	11			11	10	7	5	7	3	7	11	6	8	6		11	4	6	4	7	3		1	5	6	1	3	13	7	5	3	
21	NC_000021.9	PWP2	5822	CCDS33579.1	Public	+	44107416	44130770	[44107416-44107433, 44108983-44109095, 44113752-44113846, 44114178-44114277, 44114624-44114767, 44115263-44115398, 44115690-44115919, 44117819-44117962, 44118762-44118832, 44119386-44119522, 44120347-44120495, 44120630-44120777, 44120951-44121101, 44122176-44122356, 44124579-44124726, 44126010-44126118, 44126899-44126964, 44127931-44128149, 44128246-44128396, 44128551-44128625, 44130596-44130770]	Identical	CCDS33579.1_CHR21	2760	0	0	2757-	923	5	2	6	12	19	13	23	9	7	33	1	12	17	28	17	22	11	10	28	18	15	3		9	54	5		17	8		10	4	7	31	3	16	14	39	27	22	8	12	25	25	6	12	5	11	18	14	28	5	38	1	1	5	12	7	7	1	47	18	18	19	
9	NC_000009.12	USP20	10868	CCDS43892.1	Public	+	129852555	129880272	[129852555-129852635, 129856306-129856359, 129858049-129858111, 129858466-129858597, 129860936-129861032, 129861542-129861611, 129863185-129863298, 129865302-129865380, 129868004-129868448, 129868861-129869001, 129869309-129869424, 129869671-129869843, 129870452-129870546, 129873481-129873514, 129873698-129873743, 129874575-129874755, 129874828-129874954, 129875309-129875478, 129875559-129875640, 129876129-129876237, 129878337-129878439, 129879572-129879643, 129880112-129880272]	Identical	CCDS43892.1_CHR9	2745	0	0	2742-	918	13	3	4	19	17	12	24	5	6	37	1	22	13	26	11	26	2	10	20	13	11	6	1	11	44	1	2	20	8		13	11	3	38	9	9	8	31	25	15	8	6	23	7	7	24	12	8	11	7	42	3	40	2		4	8	6	6	5	62	26	26	22	
16	NC_000016.10	ERCC4	2072	CCDS32390.1	Public	+	13920165	13948346	[13920165-13920371, 13922030-13922210, 13926560-13926755, 13928027-13928234, 13930709-13930889, 13932156-13932284, 13934191-13934301, 13935145-13935742, 13937765-13937857, 13944722-13944834, 13947613-13948346]	Identical	CCDS32390.1_CHR16	2751	0	0	2748-	920	6	6	18	10	8	11	11	17	15	22	14	9	6	8	11	18	19	19	9	16	43	8	1	4	32	15	10	6	14		17	5	17	15	3	15	63	17	10	20	16	8	10	25	22	9	12	10	21	13	22	8	21	16		15	19	11	13	12	28	12	14	12	
21	NC_000021.9	PIGP	51227	CCDS82670.1	Public	-	37065581	37072147	[37065581-37065711, 37067261-37067379, 37069551-37069623, 37072144-37072147]	Identical	CCDS82670.1_CHR21	327	0	0	324-	112			1		1		5	2	1	1	1		4	1		2		7	3	4	5		1			1	4	1	1		1		1	4		4	3	2	1	4	3		1	3	4		2		2		2	1	1	4		3	4	1	2	3	2	5			
X	NC_000023.11	SLC9A6	10479	CCDS14654.1	Public	+	135985502	136044723	[135985502-135985826, 135994785-135994888, 135998107-135998184, 135998481-135998557, 135998855-135998967, 136002107-136002212, 136010441-136010582, 136012948-136013053, 136013348-136013436, 136016644-136016757, 136022585-136022696, 136024329-136024482, 136030131-136030161, 136033413-136033492, 136040075-136040180, 136044451-136044723]	Identical	CCDS14654.1_CHRX	2010	0	0	2007-	673	5	2	15	4	7	6	10	17	14	7	6	11	9	16	15	13	12	14	15	20	5	4		6	22	9	7	6	20	1	17	4	13	17	1	9	15	15	23	17	6	1	8	27	21	7	8	7	22	6	10	3	8	6		11	22	9	11	10	14	7	9	8	
15	NC_000015.10	APH1B	83464	CCDS10184.1	Public	+	63277623	63305780	[63277623-63277735, 63279160-63279330, 63286557-63286627, 63287423-63287545, 63302344-63302471, 63305613-63305780]	Identical	CCDS10184.1_CHR15	774	0	0	771-	261	1	1	1	4	2	1	5	3	2	4	4		5	10	8	11	1	7	6	7	7	3		1	14	2	3	5	6	1	3	1	3	9	1	7	2	6	16	8	2	5	4	10	6	1	3	3	3		3	2	3	2		9	5	2	4	3	3	1	2	1	
11	NC_000011.10	CARNS1	57571	CCDS44658.1	Public	+	67418760	67424600	[67418760-67419242, 67419486-67419660, 67419752-67419837, 67420608-67420839, 67420938-67421218, 67423374-67424600]	Identical	CCDS44658.1_CHR11	2484	0	0	2481-	831	6	10	3	20	20	17	6	8	14	14		22	10	44	6	7	1	2	16	14	4	3		5	96			11	10		23	9	4	38	2	1	2	46	15	17	13	23	12	9	4	19	13	3	14	6	30	7	18		1	2	17	4	7	4	59	8	9	20	
17	NC_000017.11	CSH1	1442	CCDS11649.1	Public	-	63895021	63896510	[63895021-63895218, 63895472-63895636, 63895730-63895849, 63896074-63896234, 63896501-63896510]	Identical	CCDS11649.1_CHR17	654	0	0	651-	221	1		1	4	3	5	6	3	1	8		3	2	5		5	1	2	6	7	1			3	16		5	2			4	1	1	5	3	2	5	4	8	10		1	8	4	2	4	2	2	1	4	8	3	14	1	1	4	1	3	1		9	4	4	4	
12	NC_000012.12	SLC25A3	5250	CCDS9065.1	Public	+	98593978	98601527	[98593978-98594134, 98595726-98595847, 98597855-98598034, 98598521-98598702, 98599954-98600126, 98601170-98601280, 98601367-98601527]	Identical	CCDS9065.1_CHR12	1086	0	0	1083-	365	5	4	3	3	5	7	5	4	10	17	3	1	5	7	7	3	7	4	3	11	9	1		2	14	3	2	6	5		14	1	9	9	1	6	11	10	8	6	8	4	5	14	6	8	7	3	5	1	9	3	4	3	1	9	8	1	5	4	7	8	4	4	
1	NC_000001.11	KAZN	23254	CCDS152.2	Public	+	14598997	15114634	[14598997-14599222, 14960683-14960874, 15034748-15034884, 15043988-15044158, 15056090-15056279, 15060171-15060301, 15063571-15063621, 15065629-15065752, 15094179-15094384, 15094814-15094932, 15101542-15101773, 15103358-15103459, 15104022-15104188, 15112426-15112540, 15114470-15114634]	Identical	CCDS152.2_CHR1	2328	0	0	2325-	779		4	5	8	9	13	24	7	2	40	1	25	8	29	7	13	2	3	11	20	9	5		10	56	4	7	15	2	1	6	5	4	43	9	4	13	24	9	22	7	16	21	3	5	16	2	2	12	7	42	2	34	2		3	7	4	4	1	53	8	27	19	
10	NC_000010.11	TIMM23B	100652748	CCDS76301.1	Public	+	49942194	49973063	[49942194-49942299, 49945031-49945089, 49952125-49952218, 49958369-49958479, 49973011-49973063]	Identical	CCDS76301.1_CHR10	423	0	0	420-	144	4		2	1	3		2	7	4				1	8	6	1	1	3	4	6	4	2	1	1	4	1		2	5		4	2		3	1	1	3	4	4	2	3	2	2	4	1		1	1	6		1	1	2	2		3	4		1	2	4	2	1	1	
12	NC_000012.12	RAPGEF3	10411	CCDS41775.1	Public	-	47737566	47758555	[47737566-47737684, 47738021-47738092, 47738192-47738246, 47738689-47738753, 47739142-47739229, 47740140-47740190, 47740304-47740394, 47740641-47740822, 47740914-47741039, 47741504-47741601, 47743529-47743675, 47743986-47744067, 47746859-47746898, 47747543-47747625, 47747711-47747861, 47748073-47748151, 47748453-47748541, 47748818-47748930, 47749389-47749535, 47749740-47749816, 47749929-47749989, 47750340-47750424, 47751047-47751215, 47751398-47751519, 47751722-47751828, 47751915-47751968, 47757865-47758077, 47758550-47758555]	Identical	CCDS41775.1_CHR12	2772	0	0	2769-	927	4	5	9	15	16	8	21	10	6	26		25	15	22	9	21	5	6	23	19	6	13	1	2	66	7	4	14	10		11	3	6	40	4	8	10	49	19	38	15	6	18	7	8	20	19	4	17	14	40	4	26	1		6	10	14	4	1	52	8	27	27	
